Total syscall: 295
[NtAccessCheck]: 0x0 8
[NtCallbackReturn]: 0x5 f9
[NtSetInformationThread]: 0xd 13
[NtQueryObject]: 0x10 2
[NtQueryInformationFile]: 0x11 98
[NtOpenKey]: 0x12 25
[NtEnumerateValueKey]: 0x13 e1
[NtQueryKey]: 0x16 256
[NtQueryValueKey]: 0x17 3ad
[NtAllocateVirtualMemory]: 0x18 f6d
[NtQueryInformationProcess]: 0x19 1ad
[NtSetInformationProcess]: 0x1c 22
[NtCreateKey]: 0x1d 6
[NtFreeVirtualMemory]: 0x1e 1e1b
[NtQueryInformationToken]: 0x21 272
[NtQueryVirtualMemory]: 0x23 48
[NtOpenThreadToken]: 0x24 1c
[NtQueryInformationThread]: 0x25 77
[NtOpenProcess]: 0x26 16a
[NtSetInformationFile]: 0x27 49
[NtMapViewOfSection]: 0x28 519
[NtUnmapViewOfSection]: 0x2a 410
[NtOpenThreadTokenEx]: 0x2f 8
[NtOpenProcessTokenEx]: 0x30 8
[NtEnumerateKey]: 0x32 2c
[NtOpenFile]: 0x33 1a7
[NtQuerySystemInformation]: 0x36 43
[NtOpenSection]: 0x37 2b
[NtDuplicateObject]: 0x3c 36
[NtQueryAttributesFile]: 0x3d 74
[NtReadVirtualMemory]: 0x3f 666
[NtOpenEvent]: 0x40 9
[NtDuplicateToken]: 0x42 8
[NtContinue]: 0x43 20
[NtCreateEvent]: 0x48 31c
[NtQueryVolumeInformationFile]: 0x49 1c
[NtCreateSection]: 0x4a 59
[NtApphelpCacheControl]: 0x4c 27
[NtProtectVirtualMemory]: 0x50 247
[NtCreateFile]: 0x55 133
[NtQueryEvent]: 0x56 1
[NtOpenDirectoryObject]: 0x58 21
[NtSetInformationObject]: 0x5c 1
[NtPowerInformation]: 0x5f 5
[NtSetValueKey]: 0x60 a
[NtAccessCheckByType]: 0x63 1
[NtAlpcAcceptConnectPort]: 0x77 1
[NtAlpcConnectPort]: 0x79 7
[NtAlpcConnectPortEx]: 0x7a 9
[NtAlpcCreatePort]: 0x7b 1
[NtAlpcCreatePortSection]: 0x7c 1
[NtAlpcCreateSectionView]: 0x7e 1
[NtAlpcCreateSecurityContext]: 0x7f 4
[NtAlpcDeletePortSection]: 0x80 1
[NtAlpcDeleteSectionView]: 0x82 1
[NtAlpcDeleteSecurityContext]: 0x83 2
[NtAlpcQueryInformation]: 0x89 11
[NtAlpcQueryInformationMessage]: 0x8a 1
[NtAlpcSendWaitReceivePort]: 0x8c a3
[NtAlpcSetInformation]: 0x8d 2
[NtAssociateWaitCompletionPacket]: 0x90 8
[NtCancelWaitCompletionPacket]: 0x95 1
[NtCreateIoCompletion]: 0xac 1
[NtCreateMutant]: 0xb3 10
[NtCreateSemaphore]: 0xbf 5
[NtCreateThreadEx]: 0xc1 12
[NtCreateTimer]: 0xc2 1
[NtCreateTimer2]: 0xc3 2
[NtCreateWaitCompletionPacket]: 0xc9 3
[NtCreateWorkerFactory]: 0xcc 1
[NtGetCompleteWnfStateSubscription]: 0xf1 6
[NtGetContextThread]: 0xf2 1b
[NtLockFile]: 0x10a 1a
[NtLockVirtualMemory]: 0x10d 3
[NtNotifyChangeKey]: 0x119 3
[NtOpenKeyEx]: 0x120 30d
[NtOpenMutant]: 0x124 a
[NtOpenProcessToken]: 0x128 e7
[NtOpenSemaphore]: 0x12b 5
[NtOpenSymbolicLinkObject]: 0x12d 1e
[NtOpenThread]: 0x12e 32
[NtQueryDirectoryFileEx]: 0x142 2a
[NtQueryFullAttributesFile]: 0x146 14
[NtQueryLicenseValue]: 0x153 7
[NtQuerySecurityAttributesToken]: 0x15a 34
[NtQuerySecurityObject]: 0x15b 56
[NtQuerySymbolicLinkObject]: 0x15e 1e
[NtQuerySystemInformationEx]: 0x161 60
[NtQueryWnfStateData]: 0x163 21
[NtRaiseException]: 0x166 4
